"ea_id","FS_year","mkt","dist_km","X","X2008.01.01","X2008.01.08","X2008.01.15","X2008.01.22","X2008.01.29","X2008.02.05","X2008.02.12","X2008.02.19","X2008.02.26","X2008.03.04","X2008.03.11","X2008.03.18","X2008.03.25","X2008.04.01","X2008.04.08","X2008.04.15","X2008.04.22","X2008.04.29","X2008.05.06","X2008.05.13","X2008.05.20","X2008.05.25","X2008.06.03","X2008.06.10","X2008.06.17","X2008.06.24","X2008.07.01","X2008.07.08","X2008.07.15","X2008.07.22","X2008.07.29","X2008.08.05","X2008.08.12","X2008.08.19","X2008.08.26","X2008.09.02","X2008.09.09","X2008.09.16","X2008.09.23","X2008.09.30","X2008.10.07","X2008.10.14","X2008.10.21","X2008.10.28","X2008.11.04","X2008.11.11","X2008.11.18","X2008.11.25","X2008.12.02","X2008.12.09","X2008.12.16","X2008.12.23","X2008.12.30","X2009.01.06","X2009.01.13","X2009.01.20","X2009.01.27","X2009.02.03","X2009.02.10","X2009.02.17","X2009.02.24","X2009.03.03","X2009.03.10","X2009.03.17","X2009.03.24","X2009.03.31","X2009.04.07","X2009.04.14","X2009.04.21","X2009.04.26","X2009.05.05","X2009.05.12","X2009.05.19","X2009.05.26","X2009.06.03","X2009.06.10","X2009.06.17","X2009.06.24","X2009.06.30","X2009.07.07","X2009.07.14","X2009.07.21","X2009.07.28","X2009.08.04","X2009.08.11","X2009.08.18","X2009.08.25","X2009.09.01","X2009.09.08","X2009.09.15","X2009.09.22","X2009.09.29","X2009.10.06","X2009.10.13","X2009.10.20","X2009.10.27","X2009.11.03","X2009.11.10","X2009.11.17","X2009.11.24","X2009.12.01","X2009.12.08","X2009.12.13","X2009.12.20","X2009.12.27","X2010.01.05","X2010.01.12","X2010.01.19","X2010.01.26","X2010.02.02","X2010.02.09","X2010.02.16","X2010.02.23","X2010.03.02","X2010.03.09","X2010.03.16","X2010.03.23","X2010.03.30","X2010.04.06","X2010.04.13","X2010.04.20","X2010.04.25","X2010.05.04","X2010.05.11","X2010.05.18","X2010.05.25","X2010.06.01","X2010.06.08","X2010.06.15","X2010.06.22","X2010.06.29","X2010.07.06","X2010.07.13","X2010.07.20","X2010.07.27","X2010.08.03","X2010.08.10","X2010.08.17","X2010.08.24","X2010.08.31","X2010.09.07","X2010.09.14","X2010.09.21","X2010.09.26","X2010.10.05","X2010.10.12","X2010.10.19","X2010.10.26","X2010.11.02","X2010.11.09","X2010.11.16","X2010.11.23","X2010.11.30","X2010.12.07","X2010.12.14","X2010.09.19","X2010.12.28","X2011.01.04","X2011.01.11","X2011.01.18","X2011.01.25","X2011.02.01","X2011.02.08","X2011.02.15","X2011.02.22","X2011.02.27","X2011.03.06","X2011.03.13","X2011.03.20","X2011.03.27","X2011.04.05","X2011.04.12","X2011.04.19","X2011.04.26","X2015.11.29","X2015.12.06","X2015.12.13","X2015.12.20","X2015.12.27","X2015.11.01","X2015.11.08","X2015.11.15","X2015.11.22","X2016.04.03","X2016.04.10","X2016.04.17","X2016.04.24","X2016.01.31","X2016.02.07","X2016.02.14","X2016.02.21","X2016.01.03","X2016.01.10","X2016.01.17","X2016.01.24","X2016.07.03","X2016.07.10","X2016.07.17","X2016.07.24","X2016.05.29","X2016.06.05","X2016.06.12","X2016.06.19","X2016.06.26","X2016.02.28","X2016.03.06","X2016.03.13","X2016.03.20","X2016.03.27","X2016.05.01","X2016.05.08","X2016.05.15","X2016.05.22","X2016.07.31","X2016.08.07","X2016.08.14","X2016.08.21","X2016.10.02","X2016.10.09","X2016.10.16","X2016.09.04","X2016.09.11","X2016.09.18","X2016.12.04","X2016.12.11","X2016.12.18","X2016.12.25","X2017.04.02","X2017.04.09","X2017.04.16","X2017.01.29","X2017.02.05","X2017.02.12","X2017.02.19","X2017.01.01","X2017.01.08","X2017.01.15","X2017.01.22","X2017.02.26","X2017.03.05","X2017.03.12","X2017.03.19","X2017.04.30","X2017.05.07","X2017.05.14","X2017.05.21"
10101016,2010,"CHITIPA",17.2052167682867,3,167.18,164,162.5,162.5,185,205,205,205,205,205,257.44,257.44,NA,257.44,257.44,179.92,179.92,179.92,179.92,177.62,175.71,NA,NA,147.55,163.11,146.67,146.67,135.67,146.67,136,136,136,136,136,147.56,NA,147.6,151.62,151.62,151.52,151.62,151.62,151.62,151.62,159.62,159.62,159.52,159.62,160.06,160.51,166.22,171.24,NA,187.94,187.94,187.94,208.51,245.52,254.8,257.33,261.54,261.46,NA,261.64,270.75,265.85,271.79,260.97,21,NA,203.12,199.84,199.8,194.07,237.13,233.56,230.7,228.52,228.21,234.83,232.94,226.27,224.51,223.51,222.52,225.53,224.53,224.6,224.1,224.4,224.33,224.3,224.48,223.48,223.54,223.35,223.7,223.64,223.7,223.75,223.8,223.87,NA,NA,NA,224.38,224.58,224.6,224.79,226.37,227.04,227.86,233.19,235.43,234.01,235.82,235.9,235.97,235.99,NA,235.34,NA,235.01,209.49,214.47,213.44,210.42,210.42,209.38,209.2,208.23,207.25,207.14,206.18,106.14,205.41,10,203.42,203.18,202.45,202.52,202.31,201.25,NA,201.36,201.4,207.17,202.19,202.19,202.31,202.42,201.41,201.77,203.17,202.26,NA,NA,205.72,206.04,206.42,207.18,207.36,NA,208.6,210.14,NA,NA,NA,NA,NA,221.24,221.38,224.15,224.46,NA,458.01,459.14,NA,460.89,NA,454.2,11,452.94,471.5,474.95,475.03,478.16,465.93,468.51,14,NA,462.98,NA,463.25,NA,475.15,475.67,475.2,476.04,476.15,472.75,474.17,474.41,475.07,NA,NA,469.56,470.17,470.29,478.91,NA,479.49,475.24,476.62,475.58,NA,21,NA,10,10,NA,479.38,480.17,NA,NA,NA,12,NA,NA,NA,530.56,530.67,530.72,530.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
10101204,2010,"CHITIPA",24.2858746536766,3,167.18,164,162.5,162.5,185,205,205,205,205,205,257.44,257.44,NA,257.44,257.44,179.92,179.92,179.92,179.92,177.62,175.71,NA,NA,147.55,163.11,146.67,146.67,135.67,146.67,136,136,136,136,136,147.56,NA,147.6,151.62,151.62,151.52,151.62,151.62,151.62,151.62,159.62,159.62,159.52,159.62,160.06,160.51,166.22,171.24,NA,187.94,187.94,187.94,208.51,245.52,254.8,257.33,261.54,261.46,NA,261.64,270.75,265.85,271.79,260.97,21,NA,203.12,199.84,199.8,194.07,237.13,233.56,230.7,228.52,228.21,234.83,232.94,226.27,224.51,223.51,222.52,225.53,224.53,224.6,224.1,224.4,224.33,224.3,224.48,223.48,223.54,223.35,223.7,223.64,223.7,223.75,223.8,223.87,NA,NA,NA,224.38,224.58,224.6,224.79,226.37,227.04,227.86,233.19,235.43,234.01,235.82,235.9,235.97,235.99,NA,235.34,NA,235.01,209.49,214.47,213.44,210.42,210.42,209.38,209.2,208.23,207.25,207.14,206.18,106.14,205.41,10,203.42,203.18,202.45,202.52,202.31,201.25,NA,201.36,201.4,207.17,202.19,202.19,202.31,202.42,201.41,201.77,203.17,202.26,NA,NA,205.72,206.04,206.42,207.18,207.36,NA,208.6,210.14,NA,NA,NA,NA,NA,221.24,221.38,224.15,224.46,NA,458.01,459.14,NA,460.89,NA,454.2,11,452.94,471.5,474.95,475.03,478.16,465.93,468.51,14,NA,462.98,NA,463.25,NA,475.15,475.67,475.2,476.04,476.15,472.75,474.17,474.41,475.07,NA,NA,469.56,470.17,470.29,478.91,NA,479.49,475.24,476.62,475.58,NA,21,NA,10,10,NA,479.38,480.17,NA,NA,NA,12,NA,NA,NA,530.56,530.67,530.72,530.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
10101215,2010,"CHITIPA",22.4777906754386,3,167.18,164,162.5,162.5,185,205,205,205,205,205,257.44,257.44,NA,257.44,257.44,179.92,179.92,179.92,179.92,177.62,175.71,NA,NA,147.55,163.11,146.67,146.67,135.67,146.67,136,136,136,136,136,147.56,NA,147.6,151.62,151.62,151.52,151.62,151.62,151.62,151.62,159.62,159.62,159.52,159.62,160.06,160.51,166.22,171.24,NA,187.94,187.94,187.94,208.51,245.52,254.8,257.33,261.54,261.46,NA,261.64,270.75,265.85,271.79,260.97,21,NA,203.12,199.84,199.8,194.07,237.13,233.56,230.7,228.52,228.21,234.83,232.94,226.27,224.51,223.51,222.52,225.53,224.53,224.6,224.1,224.4,224.33,224.3,224.48,223.48,223.54,223.35,223.7,223.64,223.7,223.75,223.8,223.87,NA,NA,NA,224.38,224.58,224.6,224.79,226.37,227.04,227.86,233.19,235.43,234.01,235.82,235.9,235.97,235.99,NA,235.34,NA,235.01,209.49,214.47,213.44,210.42,210.42,209.38,209.2,208.23,207.25,207.14,206.18,106.14,205.41,10,203.42,203.18,202.45,202.52,202.31,201.25,NA,201.36,201.4,207.17,202.19,202.19,202.31,202.42,201.41,201.77,203.17,202.26,NA,NA,205.72,206.04,206.42,207.18,207.36,NA,208.6,210.14,NA,NA,NA,NA,NA,221.24,221.38,224.15,224.46,NA,458.01,459.14,NA,460.89,NA,454.2,11,452.94,471.5,474.95,475.03,478.16,465.93,468.51,14,NA,462.98,NA,463.25,NA,475.15,475.67,475.2,476.04,476.15,472.75,474.17,474.41,475.07,NA,NA,469.56,470.17,470.29,478.91,NA,479.49,475.24,476.62,475.58,NA,21,NA,10,10,NA,479.38,480.17,NA,NA,NA,12,NA,NA,NA,530.56,530.67,530.72,530.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
10101219,2011,"MISUKU",16.1822705359319,1,136,193.33,193.33,193.33,NA,193.33,12,191.25,191.25,191.25,11,189.38,189.38,NA,NA,158.33,137.82,127.82,120,106.11,115.38,NA,115.38,79.45,113.84,24,131.03,88.92,135.64,22,141.64,141.54,74.45,166.93,147.93,147.93,169.64,178.57,169.64,169.64,178.57,180.95,21,208.1,208.1,228.57,227.91,227.91,208.57,200.95,229.05,12,NA,NA,200.95,213.81,27,265,265,270,24,214.29,214.26,17,218.58,218.58,218.58,218.58,218.58,NA,210,192.14,19,175,171.45,140.95,139.05,140.95,139.05,139.05,142.86,21,107.15,109.29,113.71,133.57,114,137.91,123.17,129.16,22,NA,138.1,138.1,143.57,145.71,140.95,131.88,166.43,178.57,182.14,12,NA,NA,NA,178.57,175,169.29,165.95,169.29,192.14,169.29,165.95,169.48,162.15,182.15,178.15,164.29,171.43,175.03,171.43,NA,175,171.43,162.15,153.34,147.84,152.38,160.48,157.15,154.77,149.34,13,140.95,144.36,121.91,122.5,122.77,143.81,140.77,NA,149.69,147.02,NA,10,160.48,172.62,176.19,172.62,169.29,175,182.14,11,172.62,178.52,NA,NA,165.95,177.66,187.15,212,NA,NA,156.67,156.67,NA,NA,NA,NA,NA,155,154.77,158.34,160.72,413.54,415.18,13,488.53,486.31,318.46,321.41,410.88,412.19,502.02,507.92,501.82,NA,498.72,NA,14,NA,NA,491.13,17,494.12,NA,10,17,24,NA,503.65,486.19,19,NA,510.12,512.19,13,20,NA,505.89,NA,NA,22,482.16,478.03,478.03,478.1,10,10,10,NA,482.35,18,NA,11,18,12,NA,NA,NA,509.27,511.18,503.93,513.89,NA,NA,15,22,NA,NA,12,19,NA,NA,14,21
10101355,2011,"MISUKU",14.113370625475,1,136,193.33,193.33,193.33,NA,193.33,12,191.25,191.25,191.25,11,189.38,189.38,NA,NA,158.33,137.82,127.82,120,106.11,115.38,NA,115.38,79.45,113.84,24,131.03,88.92,135.64,22,141.64,141.54,74.45,166.93,147.93,147.93,169.64,178.57,169.64,169.64,178.57,180.95,21,208.1,208.1,228.57,227.91,227.91,208.57,200.95,229.05,12,NA,NA,200.95,213.81,27,265,265,270,24,214.29,214.26,17,218.58,218.58,218.58,218.58,218.58,NA,210,192.14,19,175,171.45,140.95,139.05,140.95,139.05,139.05,142.86,21,107.15,109.29,113.71,133.57,114,137.91,123.17,129.16,22,NA,138.1,138.1,143.57,145.71,140.95,131.88,166.43,178.57,182.14,12,NA,NA,NA,178.57,175,169.29,165.95,169.29,192.14,169.29,165.95,169.48,162.15,182.15,178.15,164.29,171.43,175.03,171.43,NA,175,171.43,162.15,153.34,147.84,152.38,160.48,157.15,154.77,149.34,13,140.95,144.36,121.91,122.5,122.77,143.81,140.77,NA,149.69,147.02,NA,10,160.48,172.62,176.19,172.62,169.29,175,182.14,11,172.62,178.52,NA,NA,165.95,177.66,187.15,212,NA,NA,156.67,156.67,NA,NA,NA,NA,NA,155,154.77,158.34,160.72,413.54,415.18,13,488.53,486.31,318.46,321.41,410.88,412.19,502.02,507.92,501.82,NA,498.72,NA,14,NA,NA,491.13,17,494.12,NA,10,17,24,NA,503.65,486.19,19,NA,510.12,512.19,13,20,NA,505.89,NA,NA,22,482.16,478.03,478.03,478.1,10,10,10,NA,482.35,18,NA,11,18,12,NA,NA,NA,509.27,511.18,503.93,513.89,NA,NA,15,22,NA,NA,12,19,NA,NA,14,21
10101374,2010,"CHITIPA",14.2011296924,3,167.18,164,162.5,162.5,185,205,205,205,205,205,257.44,257.44,NA,257.44,257.44,179.92,179.92,179.92,179.92,177.62,175.71,NA,NA,147.55,163.11,146.67,146.67,135.67,146.67,136,136,136,136,136,147.56,NA,147.6,151.62,151.62,151.52,151.62,151.62,151.62,151.62,159.62,159.62,159.52,159.62,160.06,160.51,166.22,171.24,NA,187.94,187.94,187.94,208.51,245.52,254.8,257.33,261.54,261.46,NA,261.64,270.75,265.85,271.79,260.97,21,NA,203.12,199.84,199.8,194.07,237.13,233.56,230.7,228.52,228.21,234.83,232.94,226.27,224.51,223.51,222.52,225.53,224.53,224.6,224.1,224.4,224.33,224.3,224.48,223.48,223.54,223.35,223.7,223.64,223.7,223.75,223.8,223.87,NA,NA,NA,224.38,224.58,224.6,224.79,226.37,227.04,227.86,233.19,235.43,234.01,235.82,235.9,235.97,235.99,NA,235.34,NA,235.01,209.49,214.47,213.44,210.42,210.42,209.38,209.2,208.23,207.25,207.14,206.18,106.14,205.41,10,203.42,203.18,202.45,202.52,202.31,201.25,NA,201.36,201.4,207.17,202.19,202.19,202.31,202.42,201.41,201.77,203.17,202.26,NA,NA,205.72,206.04,206.42,207.18,207.36,NA,208.6,210.14,NA,NA,NA,NA,NA,221.24,221.38,224.15,224.46,NA,458.01,459.14,NA,460.89,NA,454.2,11,452.94,471.5,474.95,475.03,478.16,465.93,468.51,14,NA,462.98,NA,463.25,NA,475.15,475.67,475.2,476.04,476.15,472.75,474.17,474.41,475.07,NA,NA,469.56,470.17,470.29,478.91,NA,479.49,475.24,476.62,475.58,NA,21,NA,10,10,NA,479.38,480.17,NA,NA,NA,12,NA,NA,NA,530.56,530.67,530.72,530.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
10101470,2010,"CHITIPA",5.0263100032657,3,167.18,164,162.5,162.5,185,205,205,205,205,205,257.44,257.44,NA,257.44,257.44,179.92,179.92,179.92,179.92,177.62,175.71,NA,NA,147.55,163.11,146.67,146.67,135.67,146.67,136,136,136,136,136,147.56,NA,147.6,151.62,151.62,151.52,151.62,151.62,151.62,151.62,159.62,159.62,159.52,159.62,160.06,160.51,166.22,171.24,NA,187.94,187.94,187.94,208.51,245.52,254.8,257.33,261.54,261.46,NA,261.64,270.75,265.85,271.79,260.97,21,NA,203.12,199.84,199.8,194.07,237.13,233.56,230.7,228.52,228.21,234.83,232.94,226.27,224.51,223.51,222.52,225.53,224.53,224.6,224.1,224.4,224.33,224.3,224.48,223.48,223.54,223.35,223.7,223.64,223.7,223.75,223.8,223.87,NA,NA,NA,224.38,224.58,224.6,224.79,226.37,227.04,227.86,233.19,235.43,234.01,235.82,235.9,235.97,235.99,NA,235.34,NA,235.01,209.49,214.47,213.44,210.42,210.42,209.38,209.2,208.23,207.25,207.14,206.18,106.14,205.41,10,203.42,203.18,202.45,202.52,202.31,201.25,NA,201.36,201.4,207.17,202.19,202.19,202.31,202.42,201.41,201.77,203.17,202.26,NA,NA,205.72,206.04,206.42,207.18,207.36,NA,208.6,210.14,NA,NA,NA,NA,NA,221.24,221.38,224.15,224.46,NA,458.01,459.14,NA,460.89,NA,454.2,11,452.94,471.5,474.95,475.03,478.16,465.93,468.51,14,NA,462.98,NA,463.25,NA,475.15,475.67,475.2,476.04,476.15,472.75,474.17,474.41,475.07,NA,NA,469.56,470.17,470.29,478.91,NA,479.49,475.24,476.62,475.58,NA,21,NA,10,10,NA,479.38,480.17,NA,NA,NA,12,NA,NA,NA,530.56,530.67,530.72,530.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
10101562,2010,"CHITIPA",13.7704286407526,3,167.18,164,162.5,162.5,185,205,205,205,205,205,257.44,257.44,NA,257.44,257.44,179.92,179.92,179.92,179.92,177.62,175.71,NA,NA,147.55,163.11,146.67,146.67,135.67,146.67,136,136,136,136,136,147.56,NA,147.6,151.62,151.62,151.52,151.62,151.62,151.62,151.62,159.62,159.62,159.52,159.62,160.06,160.51,166.22,171.24,NA,187.94,187.94,187.94,208.51,245.52,254.8,257.33,261.54,261.46,NA,261.64,270.75,265.85,271.79,260.97,21,NA,203.12,199.84,199.8,194.07,237.13,233.56,230.7,228.52,228.21,234.83,232.94,226.27,224.51,223.51,222.52,225.53,224.53,224.6,224.1,224.4,224.33,224.3,224.48,223.48,223.54,223.35,223.7,223.64,223.7,223.75,223.8,223.87,NA,NA,NA,224.38,224.58,224.6,224.79,226.37,227.04,227.86,233.19,235.43,234.01,235.82,235.9,235.97,235.99,NA,235.34,NA,235.01,209.49,214.47,213.44,210.42,210.42,209.38,209.2,208.23,207.25,207.14,206.18,106.14,205.41,10,203.42,203.18,202.45,202.52,202.31,201.25,NA,201.36,201.4,207.17,202.19,202.19,202.31,202.42,201.41,201.77,203.17,202.26,NA,NA,205.72,206.04,206.42,207.18,207.36,NA,208.6,210.14,NA,NA,NA,NA,NA,221.24,221.38,224.15,224.46,NA,458.01,459.14,NA,460.89,NA,454.2,11,452.94,471.5,474.95,475.03,478.16,465.93,468.51,14,NA,462.98,NA,463.25,NA,475.15,475.67,475.2,476.04,476.15,472.75,474.17,474.41,475.07,NA,NA,469.56,470.17,470.29,478.91,NA,479.49,475.24,476.62,475.58,NA,21,NA,10,10,NA,479.38,480.17,NA,NA,NA,12,NA,NA,NA,530.56,530.67,530.72,530.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
10101568,2010,"CHITIPA",4.06539675065852,3,167.18,164,162.5,162.5,185,205,205,205,205,205,257.44,257.44,NA,257.44,257.44,179.92,179.92,179.92,179.92,177.62,175.71,NA,NA,147.55,163.11,146.67,146.67,135.67,146.67,136,136,136,136,136,147.56,NA,147.6,151.62,151.62,151.52,151.62,151.62,151.62,151.62,159.62,159.62,159.52,159.62,160.06,160.51,166.22,171.24,NA,187.94,187.94,187.94,208.51,245.52,254.8,257.33,261.54,261.46,NA,261.64,270.75,265.85,271.79,260.97,21,NA,203.12,199.84,199.8,194.07,237.13,233.56,230.7,228.52,228.21,234.83,232.94,226.27,224.51,223.51,222.52,225.53,224.53,224.6,224.1,224.4,224.33,224.3,224.48,223.48,223.54,223.35,223.7,223.64,223.7,223.75,223.8,223.87,NA,NA,NA,224.38,224.58,224.6,224.79,226.37,227.04,227.86,233.19,235.43,234.01,235.82,235.9,235.97,235.99,NA,235.34,NA,235.01,209.49,214.47,213.44,210.42,210.42,209.38,209.2,208.23,207.25,207.14,206.18,106.14,205.41,10,203.42,203.18,202.45,202.52,202.31,201.25,NA,201.36,201.4,207.17,202.19,202.19,202.31,202.42,201.41,201.77,203.17,202.26,NA,NA,205.72,206.04,206.42,207.18,207.36,NA,208.6,210.14,NA,NA,NA,NA,NA,221.24,221.38,224.15,224.46,NA,458.01,459.14,NA,460.89,NA,454.2,11,452.94,471.5,474.95,475.03,478.16,465.93,468.51,14,NA,462.98,NA,463.25,NA,475.15,475.67,475.2,476.04,476.15,472.75,474.17,474.41,475.07,NA,NA,469.56,470.17,470.29,478.91,NA,479.49,475.24,476.62,475.58,NA,21,NA,10,10,NA,479.38,480.17,NA,NA,NA,12,NA,NA,NA,530.56,530.67,530.72,530.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
10101706,2010,"MISUKU",21.8919526468229,1,136,193.33,193.33,193.33,NA,193.33,12,191.25,191.25,191.25,11,189.38,189.38,NA,NA,158.33,137.82,127.82,120,106.11,115.38,NA,115.38,79.45,113.84,24,131.03,88.92,135.64,22,141.64,141.54,74.45,166.93,147.93,147.93,169.64,178.57,169.64,169.64,178.57,180.95,21,208.1,208.1,228.57,227.91,227.91,208.57,200.95,229.05,12,NA,NA,200.95,213.81,27,265,265,270,24,214.29,214.26,17,218.58,218.58,218.58,218.58,218.58,NA,210,192.14,19,175,171.45,140.95,139.05,140.95,139.05,139.05,142.86,21,107.15,109.29,113.71,133.57,114,137.91,123.17,129.16,22,NA,138.1,138.1,143.57,145.71,140.95,131.88,166.43,178.57,182.14,12,NA,NA,NA,178.57,175,169.29,165.95,169.29,192.14,169.29,165.95,169.48,162.15,182.15,178.15,164.29,171.43,175.03,171.43,NA,175,171.43,162.15,153.34,147.84,152.38,160.48,157.15,154.77,149.34,13,140.95,144.36,121.91,122.5,122.77,143.81,140.77,NA,149.69,147.02,NA,10,160.48,172.62,176.19,172.62,169.29,175,182.14,11,172.62,178.52,NA,NA,165.95,177.66,187.15,212,NA,NA,156.67,156.67,NA,NA,NA,NA,NA,155,154.77,158.34,160.72,413.54,415.18,13,488.53,486.31,318.46,321.41,410.88,412.19,502.02,507.92,501.82,NA,498.72,NA,14,NA,NA,491.13,17,494.12,NA,10,17,24,NA,503.65,486.19,19,NA,510.12,512.19,13,20,NA,505.89,NA,NA,22,482.16,478.03,478.03,478.1,10,10,10,NA,482.35,18,NA,11,18,12,NA,NA,NA,509.27,511.18,503.93,513.89,NA,NA,15,22,NA,NA,12,19,NA,NA,14,21
