"","ea_id","mkt","dist_km","X","X2006.01.01","X2006.02.01","X2006.03.01","X2006.04.01","X2006.05.01","X2006.06.01","X2006.07.01","X2006.08.01","X2006.09.01","X2006.10.01","X2006.11.01","X2006.12.01","X2007.01.01","X2007.02.01","X2007.03.01","X2007.04.01","X2007.05.01","X2007.06.01","X2007.07.01","X2007.08.01","X2007.09.01","X2007.10.01","X2007.11.01","X2007.12.01","X2008.01.01","X2008.02.01","X2008.03.01","X2008.04.01","X2008.05.01","X2008.06.01","X2008.07.01","X2008.08.01","X2008.09.01","X2008.10.01","X2008.11.01","X2008.12.01","X2009.01.01","X2009.02.01","X2009.03.01","X2009.04.01","X2009.05.01","X2009.06.01","X2009.07.01","X2009.08.01","X2009.09.01","X2009.10.01","X2009.11.01","X2009.12.01","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"1",1114002,"Babati",97.7338439168486," 2","69772.73","72272.73","80000.00","101312.50","103666.67","87291.67","75900.00","77916.67","81250.00","85277.78","82850.00","85625.00","86600","77200","82000","77000","64600","57300","60600","63800","63000","66400","68800","71200","90200","79200","88200","82500"," 76500"," 89864"," 90555.56","100000","110444","113846","119545","125000","130000","130000","140000","121000","103928.57","115000.00","115000","115000","115000","125000","125000","115000","115000","120000","115000","107000"," 95000"," 86708"," 94417"," 96538"," 96429"," 97556"," 97000","111786","116318","117500","120450.0","127000","127000","133000","109250","131591","135833","158333","160712","168214","183923","191731","193889","204167","186154","181500","169375","175750.0","172500.0","173800","177083","177500.0","178750.0","177727.3","177500.0","177500.0","148250.0","132500.00","135000.0","135000.0","135000.00","135000.00","137916.75","136250.0","135000.0","135000","135000","135000","135000.0","120000.0","115000","115000","116154","129464","135000","125545","144167","160000","183500","173500","158778","144615.0","152051.0","176667","189167.0","189375.0","190000.0","190167.0","191250.0","188125","175556.0","145208.0","139722.0","140694","143722","140417","142273.0","143333.0","145000"
"2",1203003,"Morogoro",110.496876892434,"10","61250.00","68000.00","80071.43"," 89375.00"," 92291.67","85000.00","69545.45","64821.43","64833.33","67187.50","67666.67","67312.50","70000","58900","65800","64500","58400","57800","54500","53500","54700","60800","60200","62800","78200","72600","88300","97100"," 85400"," 87875"," 81111.11"," 80000"," 90000"," 91769"," 99227"," 95000","120000","135000","135000","120750","110625.00","112916.67","115000","110000","110000","105000","110000","105000","125000","130000","125000","107000","107000","104231"," 95625"," 94792"," 94529"," 87914"," 95700"," 95714","100000","100600","106166.6","110000","120000","115000","111042","107292","100313","115417","129615","135357","153077","157577","152778","169545","177423","156100","160769","155000.0","150000.0","160500","180833","181666.7","181250.0","187045.5","174375.0","148229.2","128500.0","125000.00","121875.0","111250.0","101666.75","102500.00","113958.50","115000.0","112083.2","112708","123125","132750","132884.6","127291.8","104773"," 92292","101538","108750","128462","130750","137500","158750","162045","163750","159444","148958.0","141041.7","170227","184750.0","176136.0","180909.0","185000.0","185000.0","195000","207955.0","180500.0","182083.0","162917","142273","139375","156875.0","150758.0","146667"
"3",1217003,"Dodoma",96.9524966364361," 5","60500.00","65250.00","74653.85","102142.86"," 85125.00","89583.33","79772.73","73461.54","76666.67","73000.00","78500.00","77500.00","76800","69000","69400","69200","62000","54800","54900","52600","54200","60600","67000","65300","86100","85500","81700","92400"," 88300","102500"," 88195.45","120000","110000","102500","107273","120000","120000","120000","130000","123000","122500.00","121250.00","115000","125000","105000","110000","125000","140000","150000","130000","150000","125000","115000","115769","109136","113333","110000","105846","114500","125857"," 90875","129000","135000.0","120000","140000","140000","140000","134375","147857","148100","163750","165714","175385","169231","190625","219545","223846","194500","176846","158900.0","176875.0","192400","186667","201111.1","230000.0","158909.1","187916.8","190000.0","190000.0","163333.33","152083.2","155000.0","151250.00","139583.25","137500.00","135000.0","135000.0","135000","130000","141667","141153.9","133750.0","130000","130000","130000","130000","163462","163182","161667","165417","171818","179375","169444","163310.0","171833.0","164167","180521.0","192051.0","185000.0","180792.0","188000.0","175037","188241.0","169861.0","172604.0","163426","155000","160227","161583.0","156148.0","148167"
"4",1313004,"Dodoma",80.5791390183397," 5","60500.00","65250.00","74653.85","102142.86"," 85125.00","89583.33","79772.73","73461.54","76666.67","73000.00","78500.00","77500.00","76800","69000","69400","69200","62000","54800","54900","52600","54200","60600","67000","65300","86100","85500","81700","92400"," 88300","102500"," 88195.45","120000","110000","102500","107273","120000","120000","120000","130000","123000","122500.00","121250.00","115000","125000","105000","110000","125000","140000","150000","130000","150000","125000","115000","115769","109136","113333","110000","105846","114500","125857"," 90875","129000","135000.0","120000","140000","140000","140000","134375","147857","148100","163750","165714","175385","169231","190625","219545","223846","194500","176846","158900.0","176875.0","192400","186667","201111.1","230000.0","158909.1","187916.8","190000.0","190000.0","163333.33","152083.2","155000.0","151250.00","139583.25","137500.00","135000.0","135000.0","135000","130000","141667","141153.9","133750.0","130000","130000","130000","130000","163462","163182","161667","165417","171818","179375","169444","163310.0","171833.0","164167","180521.0","192051.0","185000.0","180792.0","188000.0","175037","188241.0","169861.0","172604.0","163426","155000","160227","161583.0","156148.0","148167"
"5",1313301,"Dodoma",73.8777861888466," 5","60500.00","65250.00","74653.85","102142.86"," 85125.00","89583.33","79772.73","73461.54","76666.67","73000.00","78500.00","77500.00","76800","69000","69400","69200","62000","54800","54900","52600","54200","60600","67000","65300","86100","85500","81700","92400"," 88300","102500"," 88195.45","120000","110000","102500","107273","120000","120000","120000","130000","123000","122500.00","121250.00","115000","125000","105000","110000","125000","140000","150000","130000","150000","125000","115000","115769","109136","113333","110000","105846","114500","125857"," 90875","129000","135000.0","120000","140000","140000","140000","134375","147857","148100","163750","165714","175385","169231","190625","219545","223846","194500","176846","158900.0","176875.0","192400","186667","201111.1","230000.0","158909.1","187916.8","190000.0","190000.0","163333.33","152083.2","155000.0","151250.00","139583.25","137500.00","135000.0","135000.0","135000","130000","141667","141153.9","133750.0","130000","130000","130000","130000","163462","163182","161667","165417","171818","179375","169444","163310.0","171833.0","164167","180521.0","192051.0","185000.0","180792.0","188000.0","175037","188241.0","169861.0","172604.0","163426","155000","160227","161583.0","156148.0","148167"
"6",1417304,"Dodoma",28.6664890098412," 5","60500.00","65250.00","74653.85","102142.86"," 85125.00","89583.33","79772.73","73461.54","76666.67","73000.00","78500.00","77500.00","76800","69000","69400","69200","62000","54800","54900","52600","54200","60600","67000","65300","86100","85500","81700","92400"," 88300","102500"," 88195.45","120000","110000","102500","107273","120000","120000","120000","130000","123000","122500.00","121250.00","115000","125000","105000","110000","125000","140000","150000","130000","150000","125000","115000","115769","109136","113333","110000","105846","114500","125857"," 90875","129000","135000.0","120000","140000","140000","140000","134375","147857","148100","163750","165714","175385","169231","190625","219545","223846","194500","176846","158900.0","176875.0","192400","186667","201111.1","230000.0","158909.1","187916.8","190000.0","190000.0","163333.33","152083.2","155000.0","151250.00","139583.25","137500.00","135000.0","135000.0","135000","130000","141667","141153.9","133750.0","130000","130000","130000","130000","163462","163182","161667","165417","171818","179375","169444","163310.0","171833.0","164167","180521.0","192051.0","185000.0","180792.0","188000.0","175037","188241.0","169861.0","172604.0","163426","155000","160227","161583.0","156148.0","148167"
"7",1431001,"Dodoma",24.3180968135166," 5","60500.00","65250.00","74653.85","102142.86"," 85125.00","89583.33","79772.73","73461.54","76666.67","73000.00","78500.00","77500.00","76800","69000","69400","69200","62000","54800","54900","52600","54200","60600","67000","65300","86100","85500","81700","92400"," 88300","102500"," 88195.45","120000","110000","102500","107273","120000","120000","120000","130000","123000","122500.00","121250.00","115000","125000","105000","110000","125000","140000","150000","130000","150000","125000","115000","115769","109136","113333","110000","105846","114500","125857"," 90875","129000","135000.0","120000","140000","140000","140000","134375","147857","148100","163750","165714","175385","169231","190625","219545","223846","194500","176846","158900.0","176875.0","192400","186667","201111.1","230000.0","158909.1","187916.8","190000.0","190000.0","163333.33","152083.2","155000.0","151250.00","139583.25","137500.00","135000.0","135000.0","135000","130000","141667","141153.9","133750.0","130000","130000","130000","130000","163462","163182","161667","165417","171818","179375","169444","163310.0","171833.0","164167","180521.0","192051.0","185000.0","180792.0","188000.0","175037","188241.0","169861.0","172604.0","163426","155000","160227","161583.0","156148.0","148167"
"8",1438003,"Dodoma",61.0605927724098," 5","60500.00","65250.00","74653.85","102142.86"," 85125.00","89583.33","79772.73","73461.54","76666.67","73000.00","78500.00","77500.00","76800","69000","69400","69200","62000","54800","54900","52600","54200","60600","67000","65300","86100","85500","81700","92400"," 88300","102500"," 88195.45","120000","110000","102500","107273","120000","120000","120000","130000","123000","122500.00","121250.00","115000","125000","105000","110000","125000","140000","150000","130000","150000","125000","115000","115769","109136","113333","110000","105846","114500","125857"," 90875","129000","135000.0","120000","140000","140000","140000","134375","147857","148100","163750","165714","175385","169231","190625","219545","223846","194500","176846","158900.0","176875.0","192400","186667","201111.1","230000.0","158909.1","187916.8","190000.0","190000.0","163333.33","152083.2","155000.0","151250.00","139583.25","137500.00","135000.0","135000.0","135000","130000","141667","141153.9","133750.0","130000","130000","130000","130000","163462","163182","161667","165417","171818","179375","169444","163310.0","171833.0","164167","180521.0","192051.0","185000.0","180792.0","188000.0","175037","188241.0","169861.0","172604.0","163426","155000","160227","161583.0","156148.0","148167"
"9",1509003,"Dodoma",23.5323246352641," 5","60500.00","65250.00","74653.85","102142.86"," 85125.00","89583.33","79772.73","73461.54","76666.67","73000.00","78500.00","77500.00","76800","69000","69400","69200","62000","54800","54900","52600","54200","60600","67000","65300","86100","85500","81700","92400"," 88300","102500"," 88195.45","120000","110000","102500","107273","120000","120000","120000","130000","123000","122500.00","121250.00","115000","125000","105000","110000","125000","140000","150000","130000","150000","125000","115000","115769","109136","113333","110000","105846","114500","125857"," 90875","129000","135000.0","120000","140000","140000","140000","134375","147857","148100","163750","165714","175385","169231","190625","219545","223846","194500","176846","158900.0","176875.0","192400","186667","201111.1","230000.0","158909.1","187916.8","190000.0","190000.0","163333.33","152083.2","155000.0","151250.00","139583.25","137500.00","135000.0","135000.0","135000","130000","141667","141153.9","133750.0","130000","130000","130000","130000","163462","163182","161667","165417","171818","179375","169444","163310.0","171833.0","164167","180521.0","192051.0","185000.0","180792.0","188000.0","175037","188241.0","169861.0","172604.0","163426","155000","160227","161583.0","156148.0","148167"
"10",1510004,"Dodoma",31.7451024398704," 5","60500.00","65250.00","74653.85","102142.86"," 85125.00","89583.33","79772.73","73461.54","76666.67","73000.00","78500.00","77500.00","76800","69000","69400","69200","62000","54800","54900","52600","54200","60600","67000","65300","86100","85500","81700","92400"," 88300","102500"," 88195.45","120000","110000","102500","107273","120000","120000","120000","130000","123000","122500.00","121250.00","115000","125000","105000","110000","125000","140000","150000","130000","150000","125000","115000","115769","109136","113333","110000","105846","114500","125857"," 90875","129000","135000.0","120000","140000","140000","140000","134375","147857","148100","163750","165714","175385","169231","190625","219545","223846","194500","176846","158900.0","176875.0","192400","186667","201111.1","230000.0","158909.1","187916.8","190000.0","190000.0","163333.33","152083.2","155000.0","151250.00","139583.25","137500.00","135000.0","135000.0","135000","130000","141667","141153.9","133750.0","130000","130000","130000","130000","163462","163182","161667","165417","171818","179375","169444","163310.0","171833.0","164167","180521.0","192051.0","185000.0","180792.0","188000.0","175037","188241.0","169861.0","172604.0","163426","155000","160227","161583.0","156148.0","148167"
