"","ea_id","mkt","dist_km","X","X2010.01.01","X2010.02.01","X2010.03.01","X2010.04.01","X2010.05.01","X2010.06.01","X2010.07.01","X2010.08.01","X2010.09.01","X2010.10.01","X2010.11.01","X2010.12.01","X2011.01.01","X2011.02.01","X2011.03.01","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"1",10130002,"Owino",96.9333373414677,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"2",10130002,"Owino",2.77340822813847,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"3",10130002,"Owino",74.4385114783812,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"4",10210001,"Owino",2.59012843002041,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"5",10210002,"Owino",0.66352083699287,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"6",10210003,"Owino",0.77698982498845,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"7",10210004,"Owino",5.03052895547214,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"8",10210005,"Owino",7.83532301722094,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"9",10210006,"Owino",6.86416988997468,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"10",10210007,"Owino",6.5945753813082,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"11",10210008,"Owino",5.41156546136082,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"12",10210008,"Iganga",25.2930506244418,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 650"," 858.3333"," 750"," 800"," 949"," 900"," 876"," 822"," 800"," 850"," 634"," 602","1132"," 650"," 700"," 900","1000"," 934"," 813"," 942","1100"," 866","1250","1050.0","1125.0","1305.0","1050.0"," 713.4"," 787.50"," 850.0","1000","1100","1100","1200","1400","1308","1250","1000","1000"," 900.0000","1050.0000"," 812.5"," 875","1000","1000","1000","1000","1000","1500","1500","1500","1500","1400","1500","1400","1450","1500","1550","1600","1550","1350","1000","1300","1425","1350","1300","1325","2233","1350"
"13",10210009,"Owino",5.80311816642504,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"14",10210010,"Owino",4.09637143250358,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"15",10210011,"Owino",5.17574644598793,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"16",10210011,"Owino",9.43891370118752,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"17",10210012,"Owino",4.14767773780186,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"18",10210013,"Owino",5.1137665158736,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
"19",10210014,"Owino",2.72535207188415,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 800"," 845.0000","1000","1150","1052","1000","1105","1139","1050"," 900"," 692"," 800"," 908"," 800"," 800"," 950","1083","1092","1075","1000","1000"," 800"," 800","1033.3"," 983.5"," 977.3","1033.3"," 755.0"," 750.00"," 866.5"," 804","1125","1084"," 917"," 725"," 721"," 840"," 825","1583","1737.5000","1812.5000","1700.0","1783","1800"," 650","1000","1000","1000","1500","2500","2000","2000","2000","2000","2000","2000","2134","2167","2000","2000","2000","2000","2000","2100","2250","2100","2150","2233","2300"
