"","case_id","floor_cement","floor_dirt_sand_dung","roof_iron","roof_natural","roof_other","Radio","Television","Bicycle","Motorcycle","Car","cellphone","number_celphones","lat_modified","lon_modified","dist_road","dist_popcenter","dist_market","dist_admctr","ag_percent","slope","elevation","terrain_rough","nutri_avail","nutri_rentention","region","reside","ea_id","hh_a01","hh_a02","FS_month","FS_year","survey_round","HDDS","FCS"
"1","1013000201",0,1,1,0,0,0,1,0,0,0,0,0,-0.530627489089966,32.3274917602539,40.4345,65.5281,65.5281,25.7498,0,5.415806,1134,"Mid-altitude Mountains","Water","Water",1,"Rural","10130002","KALANGALA","MAZINGA",2,2012,"Uganda NPS 2011/2012",4,48.5
"2","1013000202",1,0,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Rural","10130002","KALANGALA","MAZINGA",3,2012,"Uganda NPS 2011/2012",4,30
"3","1013000204",0,1,1,0,0,1,0,0,0,0,1,1,-0.530627489089966,32.3274917602539,40.4835,65.554,65.554,25.8308,0,5.415806,1134,"Mid-altitude Mountains","Water","Water",1,"Rural","10130002","KALANGALA","MAZINGA",3,2012,"Uganda NPS 2011/2012",6,44.5
"4","1013000206",1,0,1,0,0,1,0,0,1,0,1,1,0.289080739021301,32.5606498718262,0.8136,4.0912,4.0912,4.0912,22,4.890816,1186,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Rural","10130002","KAMPALA","RUBAGA DIVISION",9,2012,"Uganda NPS 2011/2012",6,44.5
"5","1013000210",0,1,1,0,0,1,0,0,0,0,1,1,-0.530627489089966,32.3274917602539,41.3587,66.6363,66.6363,26.0381,9,6.238901,1144,"Mid-altitude Plateaus","Water","Water",1,"Rural","10130002","KALANGALA","MAZINGA",2,2012,"Uganda NPS 2011/2012",4,37
"6","1013000212",0,1,0,0,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Rural","10130002","KYEGEGWA","HAPUYO",3,2012,"Uganda NPS 2011/2012",1,0
"7","101300021302",0,1,1,0,0,0,0,0,0,0,1,1,-0.0435730405151844,32.0053062438965,0.1043,42.7763,42.7763,47.3164,68,4.750865,1191,"Mid-altitude Plateaus","Severe Constraint","Severe Constraint",1,"Rural","10130002","MPIGI","NKOZI",4,2012,"Uganda NPS 2011/2012",5,74.5
"8","1021000102",1,0,1,0,0,1,1,0,0,1,1,5,0.33318766951561,32.5706558227539,1.1306,0.8804,0.8804,0.8804,0,9.100713,1207,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,"Uganda NPS 2011/2012",7,92
"9","1021000108",1,0,1,0,0,1,1,0,0,1,1,5,0.33318766951561,32.5706558227539,1.0973,0.8722,0.8722,0.8722,0,9.100713,1206,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,"Uganda NPS 2011/2012",6,79
"10","1021000111",1,0,1,0,0,1,1,1,0,0,1,7,0.33318766951561,32.5706558227539,1.139,0.8115,0.8115,0.8115,0,9.100713,1200,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,"Uganda NPS 2011/2012",7,65
"11","1021000113",1,0,1,0,0,1,1,0,0,1,1,8,0.33318766951561,32.5706558227539,1.1269,0.8459,0.8459,0.8459,0,9.100713,1207,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210001","KAMPALA","KAMPALA CENTRAL",6,2012,"Uganda NPS 2011/2012",6,54
"12","1021000201",1,0,1,0,0,1,1,0,0,0,1,1,0.313044756650925,32.5691452026367,1.4203,1.5445,1.5445,1.5445,2,6.904994,1164,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",12,2011,"Uganda NPS 2011/2012",7,75
"13","1021000203",1,0,1,0,0,1,0,0,0,0,0,0,0.313044756650925,32.5691452026367,1.344,1.5936,1.5936,1.5936,4,6.904994,1167,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",12,2011,"Uganda NPS 2011/2012",6,41.5
"14","1021000204",0,1,1,0,0,0,0,0,0,0,0,0,0.313044756650925,32.5691452026367,1.3611,1.5799,1.5799,1.5799,4,6.904994,1168,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",7,2012,"Uganda NPS 2011/2012",1,8
"15","1021000207",0,1,1,0,0,0,0,0,0,0,0,0,0.313044756650925,32.5691452026367,1.4802,1.6065,1.6065,1.6065,12,9.171108,1176,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",12,2011,"Uganda NPS 2011/2012",6,69
"16","1021000212",1,0,1,0,0,1,1,0,0,0,1,1,0.313044756650925,32.5691452026367,1.4074,1.5642,1.5642,1.5642,2,6.904994,1164,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",7,2012,"Uganda NPS 2011/2012",6,42
"17","1021000213",1,0,1,0,0,1,1,0,0,0,1,3,0.313044756650925,32.5691452026367,1.4433,1.5182,1.5182,1.5182,2,6.904994,1161,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210002","KAMPALA","KAMPALA CENTRAL",7,2012,"Uganda NPS 2011/2012",6,52
"18","1021000312",1,0,1,0,0,1,1,1,0,0,1,1,0.303095519542694,32.5733451843262,1.8695,0.0807,0.0807,0.0807,0,7.378636,1189,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210003","KAMPALA","KAMPALA CENTRAL",1,2012,"Uganda NPS 2011/2012",6,78
"19","1021000402",1,0,1,0,0,1,1,0,0,0,1,4,0.345752984285355,32.5462989807129,0.0683,4.0583,4.0583,4.0583,0,3.876571,1173,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210004","KAMPALA","KAWEMPE DIVISION",2,2012,"Uganda NPS 2011/2012",7,55
"20","1021000405",1,0,1,0,0,1,0,0,0,0,1,1,0.345752984285355,32.5462989807129,0.0558,3.9988,3.9988,3.9988,0,3.876571,1173,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210004","KAMPALA","KAWEMPE DIVISION",2,2012,"Uganda NPS 2011/2012",7,63
"21","102100040502",1,0,1,0,0,0,1,0,0,0,1,2,0.345752984285355,32.5462989807129,1.2323,2.5357,5.9156,8.3616,12,10.82816,1234,"Mid-altitude Mountains","Moderate Constraint","Moderate Constraint",1,"Urban","10210004","WAKISO","NANSANA TOWN COUNCIL",8,2012,"Uganda NPS 2011/2012",7,55.5
"22","1021000406",1,0,1,0,0,1,1,1,0,0,1,2,0.345752984285355,32.5462989807129,0.0146,3.9812,3.9812,3.9812,0,3.876571,1170,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210004","KAMPALA","KAWEMPE DIVISION",8,2012,"Uganda NPS 2011/2012",7,47
"23","1021000503",0,0,1,0,0,1,1,0,0,0,1,2,0.378049045801163,32.5941276550293,0.2583,5.8982,5.8982,5.8982,6,9.664136,1212,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210005","KAMPALA","KAWEMPE DIVISION",3,2012,"Uganda NPS 2011/2012",5,72
"24","1021000504",1,0,1,0,0,0,0,0,0,0,0,0,0.378049045801163,32.5941276550293,0.1458,5.7432,5.7432,5.7432,8,9.664136,1200,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210005","KAMPALA","KAWEMPE DIVISION",3,2012,"Uganda NPS 2011/2012",5,34
"25","1021000506",1,0,1,0,0,1,1,0,0,0,1,3,0.378049045801163,32.5941276550293,0.1981,5.7134,5.7134,5.7134,8,9.664136,1197,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210005","KAMPALA","KAWEMPE DIVISION",3,2012,"Uganda NPS 2011/2012",5,54
"26","1021000604",1,0,1,0,0,1,1,1,1,0,1,3,0.371428996324539,32.5650596618652,0.7341,4.4388,5.961,5.961,2,8.080942,1245,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210006","KAMPALA","KAWEMPE DIVISION",10,2012,"Uganda NPS 2011/2012",5,31
"27","1021000607",1,0,1,0,0,1,1,0,0,1,1,8,0.371428996324539,32.5650596618652,0.8683,4.5855,5.9495,5.9495,2,8.080942,1228,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210006","KAMPALA","KAWEMPE DIVISION",4,2012,"Uganda NPS 2011/2012",7,73
"28","1021000608",1,0,1,0,0,1,1,0,1,0,1,2,0.371428996324539,32.5650596618652,0.6805,4.9556,5.799,5.799,0,5.941095,1201,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210006","KAMPALA","KAWEMPE",11,2012,"Uganda NPS 2011/2012",7,84
"29","1021000610",1,0,1,0,0,0,1,0,0,0,1,2,0.371428996324539,32.5650596618652,0.7552,4.445,5.9966,5.9966,2,8.080942,1241,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210006","KAMPALA","KAWEMPE DIVISION",4,2012,"Uganda NPS 2011/2012",5,49.5
"30","1021000612",1,0,1,0,0,1,1,0,0,0,1,5,0.371428996324539,32.5650596618652,0.8855,4.6069,5.9399,5.9399,2,8.080942,1228,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210006","KAMPALA","KAWEMPE DIVISION",4,2012,"Uganda NPS 2011/2012",7,66
"31","1021000701",0,0,1,0,0,1,1,1,0,0,1,3,0.36514076590538,32.5970153808594,2.1203,5.4432,5.4964,5.4964,33,5.52084,1190,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210007","KAMPALA","KAWEMPE DIVISION",5,2012,"Uganda NPS 2011/2012",7,100
"32","1021000702",1,0,1,0,0,1,0,0,0,0,1,1,0.36514076590538,32.5970153808594,2.6355,5.1639,5.3553,5.3553,20,5.52084,1207,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210007","KAMPALA","KAWEMPE DIVISION",6,2012,"Uganda NPS 2011/2012",5,35
"33","1021000703",1,0,1,0,0,1,1,0,0,0,1,2,0.36514076590538,32.5970153808594,1.6804,5.55,7.2258,7.2258,63,7.641912,1228,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210007","KAMPALA","",11,2012,"Uganda NPS 2011/2012",7,58
"34","1021000705",1,0,1,0,0,1,1,1,0,0,1,1,0.36514076590538,32.5970153808594,2.4845,5.1632,5.5236,5.5236,22,5.52084,1213,"High-altitude Plains","Moderate Constraint","Moderate Constraint",1,"Urban","10210007","KAMPALA","KAWEMPE DIVISION",5,2012,"Uganda NPS 2011/2012",7,79
"35","1021000710",1,0,1,0,0,1,1,0,0,1,1,6,0.36514076590538,32.5970153808594,2.3678,5.3096,5.3096,5.3096,22,5.52084,1207,"High-altitude Plains","Moderate Constraint","Moderate Constraint",1,"Urban","10210007","KAMPALA","KAWEMPE DIVISION",5,2012,"Uganda NPS 2011/2012",7,68
"36","1021000711",1,0,1,0,0,1,1,1,1,0,1,2,0.36514076590538,32.5970153808594,2.6564,5.1563,5.3476,5.3476,20,5.52084,1207,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210007","KAMPALA","KAWEMPE DIVISION",6,2012,"Uganda NPS 2011/2012",6,40
"37","1021000805",1,0,1,0,0,0,1,0,0,0,1,1,0.356909781694412,32.5883522033691,0.7683,3.6567,3.6567,3.6567,0,7.53659,1191,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210008","KAMPALA","KAWEMPE DIVISION",7,2012,"Uganda NPS 2011/2012",7,81
"38","1021000807",1,0,1,0,0,1,1,1,0,0,1,2,0.356909781694412,32.5883522033691,0.7749,3.6988,3.6988,3.6988,0,7.53659,1191,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210008","KAMPALA","KAWEMPE DIVISION",7,2012,"Uganda NPS 2011/2012",7,50
"39","102100080803",1,0,1,0,0,1,0,1,0,0,1,2,0.785026848316193,33.3249053955078,19.506,24.3753,24.3753,24.3753,60,4.698389,1130,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",2,"Urban","10210008","LUUKA","BULONGO",8,2012,"Uganda NPS 2011/2012",7,66
"40","1021000810",0,1,1,0,0,1,0,0,0,0,1,1,0.356909781694412,32.5883522033691,0.72,3.7299,3.7299,3.7299,0,7.53659,1197,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210008","KAMPALA","KAWEMPE DIVISION",7,2012,"Uganda NPS 2011/2012",5,51.5
"41","1021000811",1,0,1,0,0,1,0,0,0,0,1,1,0.356909781694412,32.5883522033691,0.6742,3.8314,3.8314,3.8314,0,7.53659,1194,"Mid-altitude Plateaus","Moderate Constraint","Moderate Constraint",1,"Urban","10210008","KAMPALA","KAWEMPE DIVISION",12,2011,"Uganda NPS 2011/2012",5,56
