"FNID","X.x","weights","X.y","X2008.07.30","X2008.08.30","X2008.09.29","X2008.10.29","X2008.11.29","X2008.12.29","X2008.12.31","X2009.01.30","X2009.02.25","X2009.03.27","X2009.04.29","X2009.05.29","X2009.06.26","X2009.07.27","X2009.08.28","X2009.09.30","X2009.10.30","X2009.11.25","X2009.12.24","X2010.01.01","X2010.01.30","X2010.02.01","X2010.02.25","X2010.03.01","X2010.03.27","X2010.04.01","X2010.04.29","X2010.05.01","X2010.05.29","X2010.06.01","X2010.06.26","X2010.07.01","X2010.07.27","X2010.08.01","X2010.08.28","X2010.09.01","X2010.09.30","X2010.10.01","X2010.10.30","X2010.11.01","X2010.11.25","X2010.12.01","X2010.12.24","X2011.01.01","X2011.01.30","X2011.02.01","X2011.02.25","X2011.03.01","X2011.03.27","X2011.04.01","X2011.05.01","X2011.06.01","X2011.07.01","X2011.08.01","X2011.09.01","X2011.10.01","X2011.11.01","X2011.12.01","X2012.01.01","X2012.02.01","X2012.03.01","X2012.04.01","X2012.05.01","X2012.06.01","X2012.07.01","X2012.08.01","X2012.09.01","X2012.10.01","X2012.11.01","X2012.12.01","X2013.01.01","X2013.02.01","X2013.03.01","X2013.04.01","X2013.05.01","X2013.06.01","X2013.07.01","X2013.08.01","X2013.09.01","X2013.10.01","X2013.11.01","X2013.12.01","X2014.01.01","X2014.02.01","X2014.03.01","X2014.04.01","X2014.05.01","X2014.06.01","X2014.07.01","X2014.08.01","X2014.09.01","X2014.10.01","X2014.11.01","X2014.12.01","X2015.01.01","X2015.02.01","X2015.03.01","X2015.04.01","X2015.05.01","X2015.06.01","X2015.07.01","X2015.08.01","X2015.09.01","X2015.10.01","X2015.11.01","X2015.12.01","X2016.01.01","X2016.02.01","X2016.03.01","X2016.04.01","X2016.05.01","X2016.06.01","X2016.07.01","X2016.08.01","X2016.09.01","X2016.10.01","X2016.11.01","X2016.12.01"
"UG2011L101",1,1,7,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"UG2011L102",207,0.999833279273143,6.99991663442421,1,0.999958317212103,0.999958317212103,0.999958317212103,0,4.16827878965094e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16827878965094e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16827878965094e-05,0,0,4.16827878965094e-05,4.16827878965094e-05,0,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,1,4.16827878965094e-05,1,1,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,1,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05,4.16827878965094e-05
"UG2011L103",3,1,7,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"UG2011L104",4,1,7,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"UG2011L105",392,0.583892169421746,3.59048175007764,0.260100669511195,0.227042239720673,0.227042239720673,0.039758339908189,0.187283899812484,0.960241660091812,0.260100669511195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812716100187517,0,0,0,0,0,0,0,0,0,0.739899330488806,0,0,0.739899330488806,0.739899330488806,0.739899330488806,0.772957760279328,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0.739899330488806,0,0,0,0,0,0,0,0.772957760279328,0.739899330488806,0.739899330488806,0.772957760279328,0.0330584297905218,0,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.772957760279328,0.812716100187517,0.960241660091812,0.260100669511195,1,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0728167696987108,0.0330584297905218,0.0330584297905218,0.772957760279328,0.772957760279328,0.772957760279328,0.772957760279328,0.772957760279328,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0330584297905218,0.0330584297905218
"UG2011L106",234,0.325714658114055,5.78101629888584,1,0.39050814944292,0.39050814944292,0.39050814944292,0,0.60949185055708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60949185055708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60949185055708,0,0,0.60949185055708,0.60949185055708,0,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,1,0.60949185055708,1,1,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,1,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708,0.60949185055708
"UG2011L107",233,0.386144073657267,5.85430237812894,0.999999999999999,0.427151189064473,0.427151189064473,0.427151189064473,0,0.572848810935526,0.999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572848810935526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572848810935526,0,0,0.572848810935526,0.572848810935526,0,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.999999999999999,0.572848810935526,0.999999999999999,0.999999999999999,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.999999999999999,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526,0.572848810935526
"UG2011L108",245,0.437758937015959,6.06404819777663,1,0.532024098888313,0.532024098888313,0.532024098888313,0,0.467975901111687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467975901111687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467975901111687,0,0,0.467975901111687,0.467975901111687,0,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,1,0.467975901111687,1,1,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,1,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687,0.467975901111687
"UG2011L109",18,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"UG2011L110",335,0.309014714401845,2.75838689348227,1,0.560403276629432,0.560403276629432,0,0.560403276629432,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439596723370568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439596723370568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439596723370568,0,0,0.439596723370568,0.439596723370568,0,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,1,1,1,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568,0.439596723370568
